,word,value
370,boosting,1
371,boosts,1
372,bore,-2
373,bored,-2
374,boring,-3
375,bother,-2
376,bothered,-2
377,bothers,-2
378,bothersome,-2
379,boycott,-2
380,boycotted,-2
381,boycotting,-2
382,boycotts,-2
383,brainwashing,-3
384,brave,2
385,braveness,2
386,bravery,2
387,bravura,3
388,breach,-2
389,breached,-2
390,breaches,-2
391,breaching,-2
392,breakthrough,3
393,breathtaking,5
394,bribe,-3
395,bribed,-3
396,bribes,-3
397,bribing,-3
398,bright,1
399,brightest,2
400,brightness,1
401,brilliant,4
402,brilliance,3
403,brilliances,3
404,brisk,2
405,broke,-1
406,broken,-1
407,brooding,-2
408,brutal,-3
409,brutally,-3
410,bullied,-2
411,bullshit,-4
412,bully,-2
413,bullying,-2
414,bummer,-2
415,buoyant,2
416,burden,-2
417,burdened,-2
418,burdening,-2
419,burdens,-2
420,burglar,-2
421,burglary,-2
422,calm,2
423,calmed,2
424,calming,2
425,calms,2
426,can't stand,-3
427,cancel,-1
428,cancelled,-1
429,cancelling,-1
430,cancels,-1
431,cancer,-1
432,capabilities,1
433,capability,1
434,capable,1
435,captivated,3
436,care,2
437,carefree,1
438,careful,2
439,carefully,2
440,carefulness,2
441,careless,-2
442,cares,2
443,caring,2
444,cashing in,-2
445,casualty,-2
446,catastrophe,-3
447,catastrophic,-4
448,cautious,-1
449,celebrate,3
450,celebrated,3
451,celebrates,3
452,celebrating,3
453,celebration,3
454,celebrations,3
455,censor,-2
456,censored,-2
457,censors,-2
458,certain,1
459,chagrin,-2
460,chagrined,-2
461,challenge,-1
462,champion,2
463,championed,2
464,champions,2
465,chance,2
466,chances,2
467,chaos,-2
468,chaotic,-2
469,charged,-3
470,charges,-2
471,charisma,2
472,charitable,2
473,charm,3
474,charming,3
475,charmingly,3
476,charmless,-3
477,chastise,-3
478,chastised,-3
479,chastises,-3
480,chastising,-3
481,cheat,-3
482,cheated,-3
483,cheater,-3
484,cheaters,-3
485,cheating,-3
486,cheats,-3
487,cheer,2
488,cheered,2
489,cheerful,2
490,cheerfully,2
491,cheering,2
492,cheerless,-2
493,cheers,2
494,cheery,3
